File Name,Source,Vanilla FPS,Vanilla Frames,Interpolated Frames,Is Interpolated,Excluded,Exclusion Reason
End03_Flashback_Thane.bik,LE3/EXTENDED CUT,30,97,194,YES,MOV,"Non-interpolated master is 15fps to remove duplicate frames, so ignore false positive"
End03_Flashback_Traynor.bik,LE3/EXTENDED CUT,30,76,152,YES,MOV,"Non-interpolated master is 15fps to remove duplicate frames, so ignore false positive"
End03_Flashback_Wrex.bik,LE3/EXTENDED CUT,30,97,194,YES,MOV,"Non-interpolated master is 15fps to remove duplicate frames, so ignore false positive"
End03_HelmDeath.bik,LE3/EXTENDED CUT,30,346,692,YES,NO,
End03_NorDepart.bik,LE3/EXTENDED CUT,30,681,1362,YES,NO,
End03_NorEstablish.bik,LE3/EXTENDED CUT,30,498,996,YES,NO,
End03_OO_Liara.bik,LE3/EXTENDED CUT,30,486,972,YES,NO,
End03_SC_LondonRio_IntroShort.bik,LE3/EXTENDED CUT,30,424,848,YES,NO,
End03_S_CoatesReb.bik,LE3/EXTENDED CUT,30,333,666,YES,NO,
End03_S_DNA.bik,LE3/EXTENDED CUT,30,1316,2632,YES,NO,
End03_S_FlashForward_JackGrave.bik,LE3/EXTENDED CUT,30,150,300,YES,MOV,"Non-interpolated master is 15fps to remove duplicate frames, so ignore false positive"
End03_S_FlashForward_JackGrissom.bik,LE3/EXTENDED CUT,30,150,300,YES,NO,
End03_s_FlashForward_JacobLondon.bik,LE3/EXTENDED CUT,30,150,300,YES,NO,
End03_S_FlashForward_KasumiKeiji.bik,LE3/EXTENDED CUT,30,150,300,YES,NO,
End03_S_FlashForward_MirandaVan.bik,LE3/EXTENDED CUT,30,150,300,YES,NO,
End03_S_FlashForward_SamDaughter.bik,LE3/EXTENDED CUT,30,150,300,YES,NO,
End03_S_FutureCity.bik,LE3/EXTENDED CUT,30,605,1210,YES,NO,
End03_S_LondonRio_Outro.bik,LE3/EXTENDED CUT,30,919,1838,YES,NO,
End03_S_MRDes_Good.bik,LE3/EXTENDED CUT,30,2143,4286,YES,NO,
End03_S_NorEst.bik,LE3/EXTENDED CUT,30,112,224,YES,NO,
End03_S_NormandyChaseExt.bik,LE3/EXTENDED CUT,30,706,1412,YES,NO,
End03_S_NorRetreatGood.bik,LE3/EXTENDED CUT,30,930,1860,YES,NO,
End03_S_RanGA_GethRpr.bik,LE3/EXTENDED CUT,30,311,622,YES,NO,
End03_S_RanQGA_NoMask.bik,LE3/EXTENDED CUT,30,300,600,YES,NO,
End03_S_TutCT_Baby.bik,LE3/EXTENDED CUT,30,231,462,YES,NO,
End03_S_TutCT_EveBaby.bik,LE3/EXTENDED CUT,30,231,462,YES,NO,
End03_S_TutCT_TutRebuild.bik,LE3/EXTENDED CUT,30,283,566,YES,NO,
End03_S_TutCT_WreaveLand.bik,LE3/EXTENDED CUT,30,262,524,YES,NO,
End03_S_TutCT_WrexLand.bik,LE3/EXTENDED CUT,30,262,524,YES,NO,
End03_S_Tut_FutureCity.bik,LE3/EXTENDED CUT,30,198,396,YES,MOV,"Non-interpolated master is 15fps to remove duplicate frames, so ignore false positive"
EveFlashBack_Death.bik,LE3/EXTENDED CUT,30,97,194,YES (BIK ONLY),MOV,
KaidanFlashBack_Death.bik,LE3/EXTENDED CUT,30,97,194,YES (BIK ONLY),MOV,"Identical to End03_Flashback_Kaidan from BASEGAME, so we duplicate it"
LiaraFlashBack_Death.bik,LE3/EXTENDED CUT,30,97,194,YES (BIK ONLY),MOV,"Identical to End03_Flashback_Liara from BASEGAME, so we duplicate it"
OptOut_NewFinale.bik,LE3/EXTENDED CUT,30,1833,3666,YES,NO,
Cat001_Prothean_FlashBack1.bik,LE3/FROM ASHES,30,530,1060,YES,NO,
Cat001_Prothean_FlashBack1_Outro.bik,LE3/FROM ASHES,30,232,464,YES,NO,
Cat001_Prothean_FlashBack2.bik,LE3/FROM ASHES,30,181,362,YES,NO,
Cat001_Prothean_FlashBack2b.bik,LE3/FROM ASHES,30,131,262,YES,NO,
Cat001_Prothean_FlashBack2_Outro.bik,LE3/FROM ASHES,30,205,410,YES,NO,
DLC_Cat001_Fb1_Ingame.bik,LE3/FROM ASHES,30,119,238,NO,YES,Unused in-game
DLC_Cat001_Fb2_Ingame.bik,LE3/FROM ASHES,30,100,200,NO,YES,Unused in-game
PostCat1_VisionBink.bik,LE3/FROM ASHES,30,209,418,NO,NO,Beacon vision videos not suited for interpolation
Lev002_Asteroid_Arrival.bik,LE3/LEVIATHAN,30,252,504,YES,NO,
Lev002_Asteroid_Depart.bik,LE3/LEVIATHAN,30,115,230,YES,NO,
Lev002_LoopingLoad.bik,LE3/LEVIATHAN,30,151,302,YES,NO,
Lev003_DigSite_Arrival.bik,LE3/LEVIATHAN,30,195,390,YES,NO,
Lev004_LeviathansReveal.bik,LE3/LEVIATHAN,30,431,862,YES,NO,
Lev004_WW_ArrivalCrash1.bik,LE3/LEVIATHAN,30,129,258,YES,NO,
Lev004_WW_ArrivalCrash2.bik,LE3/LEVIATHAN,30,22,44,YES,NO,
Lev004_WW_ArrivalCrash3.bik,LE3/LEVIATHAN,30,57,114,YES,NO,
Lev004_WW_ArrivalCrash4.bik,LE3/LEVIATHAN,30,261,522,YES,NO,
Lev004_WW_CortezInsert.bik,LE3/LEVIATHAN,30,67,134,YES,NO,
Lev004_WW_DescentBelow1.bik,LE3/LEVIATHAN,30,241,482,YES,NO,
Lev004_WW_DescentBelow2.bik,LE3/LEVIATHAN,30,244,488,YES,NO,
Lev004_WW_DescentLoop.bik,LE3/LEVIATHAN,30,317,634,YES,NO,
Lev004_WW_DescentSurface1.bik,LE3/LEVIATHAN,30,246,492,YES,NO,
Lev004_WW_DescentSurface2.bik,LE3/LEVIATHAN,30,158,316,YES,NO,
Lev004_WW_EscapeBelow1.bik,LE3/LEVIATHAN,30,282,564,YES,NO,
Lev004_WW_EscapeLoop.bik,LE3/LEVIATHAN,30,149,298,YES,NO,
Lev004_WW_EscapeSurface1.bik,LE3/LEVIATHAN,30,98,196,YES,NO,
Lev004_WW_EscapeSurface2.bik,LE3/LEVIATHAN,30,209,418,YES,NO,
Lev004_WW_EscapeSurface3.bik,LE3/LEVIATHAN,30,71,142,YES,NO,
Lev004_WW_EscapeSurface4.bik,LE3/LEVIATHAN,30,950,1900,YES,NO,
WaterWorldArrivalPart1.bik,LE3/LEVIATHAN,30,299,598,YES,NO,
load_OMG_1toHub.bik,LE3/OMEGA,30,148,296,YES,NO,
load_OMG_3to4.bik,LE3/OMEGA,30,130,260,YES,NO,
load_OMG_Hubto2a.bik,LE3/OMEGA,30,130,260,YES,NO,
load_OMG_Hubto3.bik,LE3/OMEGA,30,130,260,YES,NO,
omg003_barriers_afterlife.bik,LE3/OMEGA,30,89,178,YES,NO,
omg003_barriers_market.bik,LE3/OMEGA,30,71,142,YES,NO,
omg003_barriers_mech.bik,LE3/OMEGA,30,154,308,YES,NO,
omg003_barriers_vista.bik,LE3/OMEGA,30,138,276,YES,NO,
omg02A_speech_general.bik,LE3/OMEGA,30,137,274,YES,NO,
omg02A_speech_market.bik,LE3/OMEGA,30,115,230,YES,NO,
omg02A_speech_tech.bik,LE3/OMEGA,30,136,272,YES,NO,
omg02A_speech_vista.bik,LE3/OMEGA,30,118,236,YES,NO,
OmgIntro_001_StealthEntry.bik,LE3/OMEGA,29.97,431,862,YES,NO,
OmgIntro_002_HeadforCmdShp.bik,LE3/OMEGA,29.97,203,406,YES,NO,
OmgIntro_003_SneakApproach.bik,LE3/OMEGA,29.97,127,254,YES,NO,
OmgIntro_004_TakeOutCmdShpA.bik,LE3/OMEGA,29.97,214,428,YES,NO,
OmgIntro_005_TakeOutCmdShpB.bik,LE3/OMEGA,29.97,231,462,YES,NO,
OmgIntro_006_FleetJoins.bik,LE3/OMEGA,29.97,256,512,YES,NO,
OmgIntro_007_Cannon.bik,LE3/OMEGA,29.97,160,320,YES,NO,
OmgIntro_008_OmegaAttacks.bik,LE3/OMEGA,29.97,196,392,YES,NO,
OmgIntro_009_PodEject.bik,LE3/OMEGA,29.97,155,310,YES,NO,
OmgIntro_010_PodCrash.bik,LE3/OMEGA,29.97,191,382,YES,NO,
